joint1,joint2,joint3,joint4,joint5,joint6,joint7
2.381691,4.028915,0.824322,3.856247,9.415771,5.114136,7.651039
2.383064,4.030289,0.823292,3.856247,9.410278,5.114136,7.651039
2.383064,4.030289,0.823292,3.856247,9.410278,5.114136,7.649490
2.383064,4.030289,0.823292,3.856247,9.410278,5.114136,7.649490
2.382042,4.030113,0.823635,3.861740,9.415771,5.114136,7.649490
2.382042,4.030113,0.823635,3.861740,9.415771,5.114136,7.649147
2.382042,4.030113,0.823635,3.861740,9.415771,5.114136,7.649147
2.382378,4.029602,0.824150,3.856247,9.415771,5.114136,7.649147
2.382378,4.029602,0.824150,3.856247,9.415771,5.114136,7.648804
2.382378,4.029602,0.824150,3.856247,9.415771,5.114136,7.648804
2.381523,4.029938,0.823120,3.856247,9.415771,5.114136,7.648804
2.381523,4.029938,0.823120,3.856247,9.415771,5.114136,7.648979
2.381523,4.029938,0.823120,3.856247,9.415771,5.114136,7.648979
2.382553,4.029427,0.823120,3.856247,9.415771,5.114136,7.648979
2.382553,4.029427,0.823120,3.856247,9.415771,5.114136,7.649666
2.382553,4.029427,0.823120,3.856247,9.415771,5.114136,7.649666
2.381866,4.029602,0.823807,3.856247,9.415771,5.114136,7.649666
2.381866,4.029602,0.823807,3.856247,9.415771,5.114136,7.649834
2.381866,4.029602,0.823807,3.856247,9.415771,5.114136,7.649834
2.382378,4.029602,0.823978,3.856247,9.415771,5.114136,7.649834
2.382378,4.029602,0.823978,3.856247,9.415771,5.114136,7.650352
2.382378,4.029602,0.823978,3.856247,9.415771,5.114136,7.650352
2.381355,4.029427,0.823978,3.856247,9.415771,5.114136,7.650352
2.381355,4.029427,0.822433,3.856247,9.415771,5.114136,7.649147
2.381355,4.029427,0.822433,3.856247,9.415771,5.114136,7.649147
2.382042,4.029427,0.822433,3.856247,9.415771,5.114136,7.649147
2.382042,4.029427,0.824665,3.861740,9.415771,5.114136,7.649666
2.382042,4.029427,0.824665,3.861740,9.415771,5.114136,7.649666
2.382042,4.029938,0.824665,3.861740,9.415771,5.114136,7.649666
2.382042,4.029938,0.823292,3.856247,9.415771,5.114136,7.650520
2.382042,4.029938,0.823292,3.856247,9.415771,5.114136,7.650520
2.382042,4.029427,0.823292,3.856247,9.415771,5.114136,7.650520
2.382042,4.029427,0.824150,3.856247,9.415771,5.114136,7.650002
2.382042,4.029427,0.824150,3.856247,9.415771,5.114136,7.650002
2.382210,4.029427,0.824150,3.856247,9.410278,5.114136,7.650002
2.382210,4.029770,0.823807,3.861740,9.410278,5.114136,7.648804
2.382210,4.029770,0.823807,3.861740,9.410278,5.114136,7.648804
2.381523,4.029770,0.823807,3.861740,9.415771,5.114136,7.648804
2.381523,4.028564,0.822605,3.856247,9.415771,5.114136,7.649490
2.381523,4.028564,0.822605,3.856247,9.415771,5.114136,7.649490
2.381523,4.028564,0.822605,3.856247,9.415771,5.114136,7.649490
2.381866,4.029770,0.823807,3.856247,9.415771,5.114136,7.648460
2.381866,4.029770,0.823807,3.856247,9.415771,5.114136,7.648460
2.381866,4.029770,0.823807,3.856247,9.415771,5.114136,7.648460
2.382553,4.029602,0.823292,3.856247,9.415771,5.114136,7.649666
2.382553,4.029602,0.823292,3.856247,9.415771,5.114136,7.649666
2.382553,4.029602,0.823292,3.856247,9.415771,5.114136,7.649666
2.382378,4.029938,0.823463,3.856247,9.415771,5.114136,7.649147
2.382378,4.029938,0.823463,3.856247,9.415771,5.114136,7.649147
2.382378,4.029938,0.823463,3.856247,9.410278,5.114136,7.649147
2.382378,4.029251,0.823978,3.861740,9.410278,5.114136,7.649147
2.382378,4.029251,0.823978,3.861740,9.410278,5.114136,7.649147
2.382378,4.029251,0.823978,3.861740,9.415771,5.114136,7.649147
2.382378,4.030289,0.823978,3.856247,9.415771,5.114136,7.649147
2.382378,4.030289,0.823978,3.856247,9.415771,5.114136,7.648979
2.382378,4.030289,0.823978,3.856247,9.415771,5.114136,7.648979
2.382378,4.029251,0.822948,3.856247,9.415771,5.114136,7.648979
2.382378,4.029251,0.822948,3.856247,9.415771,5.114136,7.649834
2.382378,4.029251,0.822948,3.856247,9.415771,5.114136,7.649834
2.382210,4.029602,0.823978,3.861740,9.415771,5.114136,7.649834
2.382210,4.029602,0.823978,3.861740,9.415771,5.114136,7.648804
2.382210,4.029602,0.823978,3.861740,9.415771,5.114136,7.648804
2.381866,4.029427,0.822948,3.856247,9.415771,5.114136,7.648804
2.381866,4.029427,0.822948,3.856247,9.415771,5.114136,7.649490
2.381866,4.029427,0.822948,3.856247,9.415771,5.114136,7.649490
2.382729,4.029938,0.823463,3.856247,9.415771,5.114136,7.649490
2.382729,4.029938,0.823463,3.856247,9.415771,5.114136,7.649834
2.382729,4.029938,0.823463,3.856247,9.415771,5.114136,7.649834
2.382210,4.029427,0.822948,3.856247,9.415771,5.114136,7.649834
2.382210,4.029427,0.822948,3.856247,9.415771,5.114136,7.650177
2.382210,4.029427,0.822948,3.856247,9.415771,5.114136,7.650177
2.382042,4.028915,0.823978,3.856247,9.410278,5.114136,7.650177
2.382042,4.028915,0.823978,3.856247,9.410278,5.114136,7.649490
2.382042,4.028915,0.823978,3.856247,9.410278,5.114136,7.649490
2.381523,4.029770,0.824837,3.856247,9.415771,5.114136,7.649490
2.381523,4.029770,0.824837,3.856247,9.415771,5.114136,7.649147
2.381523,4.029770,0.824837,3.856247,9.415771,5.114136,7.649147
2.381691,4.029251,0.823463,3.856247,9.410278,5.114136,7.649147
2.381691,4.029251,0.823463,3.856247,9.410278,5.114136,7.649490
2.381691,4.029251,0.823463,3.856247,9.410278,5.114136,7.649490
2.382553,4.030289,0.823635,3.856247,9.410278,5.114136,7.649490
2.382553,4.030289,0.823635,3.856247,9.410278,5.114136,7.648979
2.382553,4.030289,0.823635,3.856247,9.410278,5.114136,7.648979
2.382042,4.029083,0.823120,3.861740,9.415771,5.114136,7.648979
2.382042,4.029083,0.823120,3.861740,9.415771,5.114136,7.650177
2.382042,4.029083,0.823120,3.861740,9.415771,5.114136,7.650177
2.382553,4.030113,0.823807,3.856247,9.415771,5.114136,7.650177
2.382553,4.030113,0.823807,3.856247,9.415771,5.114136,7.650352
2.382553,4.030113,0.823807,3.856247,9.415771,5.114136,7.650352
2.382210,4.028915,0.823978,3.856247,9.415771,5.114136,7.650352
2.382210,4.028915,0.823978,3.856247,9.415771,5.114136,7.649666
2.382210,4.028915,0.823978,3.856247,9.415771,5.114136,7.649666
2.383064,4.029083,0.823463,3.856247,9.415771,5.114136,7.649666
2.383064,4.029083,0.823463,3.856247,9.415771,5.114136,7.650352
2.383064,4.029083,0.823463,3.856247,9.415771,5.114136,7.650352
2.382378,4.030289,0.824493,3.861740,9.415771,5.114136,7.650352
2.382378,4.030289,0.824493,3.861740,9.415771,5.114136,7.651039
2.382378,4.030289,0.824493,3.861740,9.415771,5.114136,7.651039
2.381691,4.030113,0.823463,3.861740,9.415771,5.114136,7.651039
2.381691,4.030113,0.823463,3.861740,9.415771,5.114136,7.650864
2.381691,4.030113,0.823463,3.861740,9.415771,5.114136,7.650864
2.382210,4.029083,0.823635,3.856247,9.410278,5.114136,7.650864
2.382210,4.029083,0.823635,3.856247,9.410278,5.114136,7.649666
2.382210,4.029083,0.823635,3.856247,9.410278,5.114136,7.649666
2.381691,4.029427,0.823292,3.856247,9.410278,5.114136,7.649666
2.381691,4.029427,0.823292,3.856247,9.410278,5.114136,7.649490
2.381691,4.029427,0.823292,3.856247,9.410278,5.114136,7.649490
2.381523,4.029602,0.823978,3.856247,9.415771,5.114136,7.649490
2.381523,4.029602,0.823978,3.856247,9.415771,5.114136,7.650177
2.381523,4.029602,0.823978,3.856247,9.415771,5.114136,7.650177
2.381355,4.029938,0.823978,3.856247,9.410278,5.114136,7.650177
2.381355,4.029938,0.823978,3.856247,9.410278,5.114136,7.649666
2.381355,4.029938,0.823978,3.856247,9.410278,5.114136,7.649666
2.382210,4.030289,0.823120,3.856247,9.415771,5.114136,7.649666
2.382210,4.030289,0.823120,3.856247,9.415771,5.114136,7.651726
2.382378,4.030289,0.823120,3.856247,9.415771,5.114136,7.651726
2.382378,4.030113,0.822777,3.856247,9.415771,5.114136,7.651726
2.382378,4.030113,0.822777,3.856247,9.415771,5.114136,7.649666
2.382378,4.030113,0.822777,3.856247,9.415771,5.114136,7.649666
2.381866,4.029251,0.824322,3.856247,9.415771,5.114136,7.649666
2.381866,4.029251,0.824322,3.856247,9.415771,5.114136,7.650002
2.381866,4.029251,0.824322,3.856247,9.415771,5.114136,7.650002
2.382210,4.028915,0.823463,3.856247,9.415771,5.114136,7.650002
2.382210,4.028915,0.823463,3.856247,9.415771,5.114136,7.650002
2.382210,4.028915,0.823463,3.856247,9.415771,5.114136,7.650002
2.382378,4.029938,0.823120,3.856247,9.415771,5.114136,7.650002
2.382378,4.029938,0.823120,3.856247,9.415771,5.114136,7.649834
2.382378,4.029938,0.823120,3.856247,9.415771,5.114136,7.649834
2.382042,4.030113,0.823635,3.856247,9.410278,5.114136,7.649834
2.382042,4.030113,0.823635,3.856247,9.410278,5.114136,7.648979
2.382042,4.030113,0.823635,3.856247,9.410278,5.114136,7.648979
2.382378,4.029938,0.824493,3.856247,9.415771,5.114136,7.648979
2.382378,4.029938,0.824493,3.856247,9.415771,5.114136,7.648804
2.382378,4.029938,0.824493,3.856247,9.415771,5.114136,7.648804
2.382210,4.029427,0.823807,3.856247,9.410278,5.114136,7.648804
2.382210,4.029427,0.823807,3.856247,9.410278,5.114136,7.648804
2.382210,4.029427,0.823807,3.856247,9.410278,5.114136,7.648804
2.382210,4.029083,0.823978,3.856247,9.415771,5.114136,7.648804
2.382210,4.029083,0.823978,3.861740,9.415771,5.114136,7.650688
2.382210,4.029083,0.823978,3.861740,9.415771,5.114136,7.650688
2.382378,4.028915,0.823978,3.861740,9.415771,5.114136,7.650688
2.382378,4.028915,0.823978,3.856247,9.415771,5.114136,7.649666
2.382378,4.028915,0.823978,3.856247,9.415771,5.114136,7.649666
2.382729,4.029602,0.823978,3.856247,9.415771,5.114136,7.649666
2.382729,4.029602,0.823463,3.861740,9.415771,5.114136,7.650688
2.382729,4.029602,0.823463,3.861740,9.415771,5.114136,7.650688
2.381691,4.029083,0.823463,3.861740,9.415771,5.114136,7.650688
2.381691,4.029083,0.822777,3.861740,9.415771,5.114136,7.650177
2.381691,4.029083,0.822777,3.861740,9.415771,5.114136,7.650177
2.382378,4.029083,0.822777,3.861740,9.415771,5.114136,7.650177
2.382378,4.030113,0.824493,3.856247,9.415771,5.114136,7.649315
2.382378,4.030113,0.824493,3.856247,9.415771,5.114136,7.649315
2.381523,4.030457,0.823978,3.856247,9.415771,5.114136,7.649315
2.381523,4.030457,0.823978,3.856247,9.415771,5.114136,7.649666
2.381523,4.030457,0.823978,3.856247,9.415771,5.114136,7.649666
2.381355,4.030457,0.823978,3.856247,9.410278,5.114136,7.649666
2.381355,4.029427,0.823807,3.856247,9.410278,5.114136,7.649834
2.381355,4.029427,0.823807,3.856247,9.410278,5.114136,7.649834
2.381355,4.029427,0.823807,3.856247,9.410278,5.114136,7.649834
2.383240,4.029770,0.823978,3.856247,9.410278,5.114136,7.649666
2.383240,4.029770,0.823978,3.856247,9.410278,5.114136,7.649666
2.383240,4.029770,0.823978,3.856247,9.415771,5.114136,7.649666
2.382042,4.029770,0.823635,3.856247,9.415771,5.114136,7.650002
2.382042,4.029770,0.823635,3.856247,9.415771,5.114136,7.650002
2.382729,4.029770,0.823635,3.856247,9.410278,5.114136,7.650002
2.382729,4.029938,0.823292,3.856247,9.410278,5.114136,7.649834
2.382729,4.029938,0.823292,3.856247,9.410278,5.114136,7.649834
2.382378,4.029938,0.823292,3.856247,9.415771,5.114136,7.649834
2.382378,4.031143,0.823292,3.856247,9.415771,5.114136,7.649834
2.382378,4.031143,0.823292,3.856247,9.415771,5.114136,7.649834
2.382378,4.031143,0.823292,3.856247,9.415771,5.114136,7.649834
2.381691,4.029427,0.823635,3.856247,9.415771,5.114136,7.649834
2.381691,4.029427,0.823635,3.856247,9.415771,5.114136,7.650864
2.381691,4.029427,0.823635,3.856247,9.415771,5.114136,7.650864
2.382042,4.029083,0.823978,3.856247,9.415771,5.114136,7.650864
2.382042,4.029083,0.823978,3.856247,9.415771,5.114136,7.649147
2.382042,4.029083,0.823978,3.856247,9.415771,5.114136,7.649147
2.382210,4.030113,0.823463,3.856247,9.415771,5.114136,7.650177
2.382210,4.030113,0.823463,3.856247,9.415771,5.114136,7.650177
2.382210,4.030113,0.823463,3.856247,9.415771,5.114136,7.650177
2.381355,4.029251,0.824322,3.856247,9.415771,5.114136,7.650177
2.381355,4.029251,0.824322,3.856247,9.415771,5.114136,7.650177
2.381355,4.029251,0.824322,3.856247,9.415771,5.114136,7.650177
2.382210,4.029770,0.823807,3.856247,9.410278,5.114136,7.650177
